account_rewards,date
-7705.009522003238,2022-04-04
210.40592388925143,2022-04-05
2484.204641567194,2022-04-06
-2432.8996722183656,2022-04-07
-9782.863546844455,2022-04-08
-329.31767875282094,2022-04-11
12309.495086822542,2022-04-12
-3130.23935788346,2022-04-13
-7433.533340457943,2022-04-14
15393.026782127446,2022-04-18
2843.4852835579077,2022-04-19
-7495.714124790276,2022-04-20
-22584.451946857385,2022-04-21
7531.811514442437,2022-04-22
-20625.640730850166,2022-04-25
-7085.355141433771,2022-04-26
13549.287235069321,2022-04-27
-21203.11190961837,2022-04-28
-1609.3814550247043,2022-04-29
3139.0608477019705,2022-05-02
21507.478344146744,2022-05-03
-23150.048340209993,2022-05-04
657.6532314491924,2022-05-05
-16834.233960956568,2022-05-06
2888.5146872635232,2022-05-09
-7258.767604202265,2022-05-10
-1625.0672922286903,2022-05-11
9601.5664748688,2022-05-12
2526.004323059111,2022-05-13
11326.490181640605,2022-05-16
-874.6574660340557,2022-05-17
-893.7499614487169,2022-05-18
-87.77081439213362,2022-05-19
3761.1321527977707,2022-05-20
1028.181040298543,2022-05-23
2559.189371581888,2022-05-24
6905.408536495408,2022-05-25
8458.932556976215,2022-05-26
-4931.025193481357,2022-05-27
-4069.0150216293987,2022-05-31
6828.483299358282,2022-06-01
-3740.0164259792073,2022-06-02
258.25145055016037,2022-06-03
5247.657763149124,2022-06-06
-5463.057496665977,2022-06-07
-15430.027356330887,2022-06-08
-19604.40882249456,2022-06-09
-28690.859385971096,2022-06-10
649.2747810935834,2022-06-13
10663.553071369184,2022-06-14
-19336.29885351553,2022-06-15
-1.03736840817146,2022-06-16
12259.102977043134,2022-06-17
-3853.5783963585272,2022-06-21
575.4361429443816,2022-06-22
22763.401222202345,2022-06-23
-1171.123382816324,2022-06-24
-12051.16731687542,2022-06-27
-970.5163122062804,2022-06-28
-5995.907930252026,2022-06-29
9129.524375808658,2022-06-30
-7587.121912940871,2022-07-01
