date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-07-06,-77,82,0,100,-46,0,-13,-100,79,100,0,-100,0,0,100,-50,55,-17,0,-100,-33,0,0,0,0,100,-50,97,-100
2022-07-07,-16,100,46,0,0,0,2,-89,0,-5,0,0,0,0,0,0,-100,-43,-100,-21,100,0,0,0,-33,0,0,-10,100
2022-07-08,0,100,-100,0,-42,89,-100,90,-21,100,-45,0,0,0,-100,100,0,0,-54,-100,-84,-10,0,0,38,-56,8,-42,-87
2022-07-11,0,94,1,-20,0,0,-59,0,0,-16,-38,100,0,0,0,-6,-38,0,-22,0,0,0,0,0,0,-56,0,-73,0
2022-07-12,0,-100,-68,-42,100,-100,-7,0,-7,-100,100,100,0,0,-48,-27,-28,54,0,-33,100,0,0,0,0,0,0,-100,100
2022-07-13,0,0,-32,-50,0,100,1,-14,-73,100,0,-25,0,0,100,0,-38,42,0,100,0,0,0,0,-100,0,-95,0,-3
2022-07-14,0,56,100,100,-27,-7,-70,-100,85,-38,-97,-64,0,38,-17,-67,-37,22,23,100,-100,58,17,0,37,-7,100,-12,-29
2022-07-15,0,-100,0,0,0,-3,100,-10,-84,0,100,0,34,-1,-45,0,-68,0,100,-100,0,92,100,0,0,0,-100,-13,2
2022-07-18,0,29,69,-28,-93,-11,42,-100,32,-100,-19,-100,-34,100,-31,0,0,17,23,-62,52,-100,-100,0,-12,0,100,-19,46
2022-07-19,94,-100,100,100,-12,-100,-53,27,-33,100,-85,76,33,7,-41,100,0,100,-30,-35,-68,-15,-17,0,-100,0,-8,0,42
2022-07-20,-94,-82,-51,-20,-58,40,-89,-75,47,48,0,100,100,-82,-24,85,35,-44,-100,100,0,45,32,0,100,0,-66,0,86
2022-07-21,0,24,15,-14,-3,-100,0,-84,-47,-8,0,-24,-100,100,-100,61,-4,50,45,27,0,20,-32,0,-64,0,66,0,-76
2022-07-22,96,-16,0,-100,0,-10,72,-28,72,80,100,100,100,49,0,-53,-31,-74,-100,56,96,0,8,0,100,0,1,0,100
2022-07-25,100,-100,-14,36,0,0,100,51,-72,0,-69,7,-89,-16,-34,1,0,51,100,49,100,-88,-8,100,-100,92,100,100,90
2022-07-26,-33,-100,-24,0,100,100,0,-45,0,0,100,0,0,100,0,-100,0,-4,-14,0,-15,-9,0,0,-64,100,-62,0,100
2022-07-27,-58,-33,-100,62,100,73,0,0,0,-16,92,-100,100,1,0,0,0,0,-100,-83,100,69,0,-32,-22,-91,-100,-36,-15
2022-07-28,18,-49,-100,-51,-49,100,-100,-100,0,100,26,-88,10,83,33,13,49,6,30,100,-100,-72,0,71,-10,-5,-65,-24,7
2022-07-29,-123,0,-56,-545,-151,-273,-72,-240,0,-403,-249,-208,-154,-379,-295,-107,-49,-453,-483,-260,-181,0,0,-139,0,-96,-87,-40,-1070
2022-08-01,0,12,0,0,16,100,100,0,100,0,40,0,100,0,0,34,6,69,0,0,43,29,7,30,0,61,16,0,0
2022-08-02,0,-6,46,0,100,-11,-97,0,98,87,-40,100,93,100,0,72,11,-3,100,0,-43,-29,19,26,100,-8,3,0,0
