,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
0,0,0.001693,2025-02-03 21:25:56.900944,2025-02-04 00:06:28.931027,0 days 02:40:32.030083,relu,256,0.3,1.2414129964373239e-07,0.99,0.9999,1.0818756933307627e-05,20,512,medium,True,0.9591205814721341,COMPLETE
1,1,0.002095,2025-02-03 21:25:56.901426,2025-02-04 00:07:05.342985,0 days 02:41:08.441559,elu,128,0.1,0.00013427093037485417,0.99,0.9,0.0034442638565696194,10,256,medium,True,0.3907920782467481,COMPLETE
2,2,0.001795,2025-02-03 21:25:56.901943,2025-02-03 23:50:12.632307,0 days 02:24:15.730364,relu,256,0.2,5.762302102301057e-08,1.0,0.98,0.0007747335000101057,10,1024,medium,True,0.26279902935917476,COMPLETE
3,3,0.002051,2025-02-03 21:25:56.902611,2025-02-03 23:36:16.546463,0 days 02:10:19.643852,elu,128,0.4,6.098216321586609e-07,0.92,0.95,0.2871659727358584,1,512,medium,False,0.885938417007453,COMPLETE
4,4,0.001959,2025-02-03 21:25:56.903203,2025-02-03 23:33:02.832293,0 days 02:07:05.929090,elu,128,0.3,2.4020712964449664e-07,0.92,0.5,5.429081413432897e-05,1,1024,small,False,0.2718031631862676,COMPLETE
5,5,0.001938,2025-02-03 21:25:56.903809,2025-02-04 00:42:21.052150,0 days 03:16:24.148341,leaky_relu,128,0.4,1.5995988024374318e-07,0.98,0.9999,0.0003209234671253625,20,512,medium,True,0.7340959082820339,COMPLETE
6,6,0.001828,2025-02-03 21:25:56.904289,2025-02-04 00:04:40.765564,0 days 02:38:43.861275,leaky_relu,256,0.4,1.9570208716642725e-06,1.0,0.99,0.05351615391743026,20,256,small,True,0.4435924971458358,COMPLETE
7,7,0.001689,2025-02-03 21:25:56.904783,2025-02-03 23:32:31.697084,0 days 02:06:34.792301,tanh,256,0.4,0.02013322281850805,0.98,0.999,0.002457857456029171,1,256,small,False,0.8754081382073194,COMPLETE
8,8,0.001962,2025-02-03 21:25:56.905294,2025-02-03 23:51:56.702418,0 days 02:25:59.797124,relu,256,0.3,0.005448244152262917,0.95,0.995,0.0034495796618496943,10,256,medium,True,0.057851197408245625,COMPLETE
9,9,0.002029,2025-02-03 21:25:56.905717,2025-02-03 23:50:25.233187,0 days 02:24:28.327470,relu,256,0.1,2.17146247559189e-07,1.0,0.9999,0.10500470758897941,10,512,medium,False,0.4177218507846647,COMPLETE
